Date,Open,High,Low,Close,Volume
01-04-2025,145.25,150.75,144.5,149,3200000
02-04-2025,149,152,147.75,151.5,2800000
03-04-2025,151.5,153.25,148.75,150.75,3500000
04-04-2025,150.75,152.75,149.5,151,3000000
05-04-2025,151,153,150,152.5,2900000
06-04-2025,152.5,154.25,151.5,153.75,3100000
07-04-2025,153.75,155.5,152,154.5,3400000
08-04-2025,154.5,156,153.25,155,3300000
09-04-2025,155,157.25,154.25,156.5,3200000
10-04-2025,156.5,158,155,157.75,3100000
11-04-2025,157.75,159.5,156,158.5,3400000
12-04-2025,158.5,160,157.25,159,3300000
13-04-2025,159,161.25,158.25,160.5,3200000
14-04-2025,160.5,162,159,161.75,3100000
15-04-2025,161.75,163.5,160,162.5,3400000
16-04-2025,162.5,164,161.25,163,3300000
17-04-2025,163,165.25,162.25,164.5,3200000
18-04-2025,164.5,166,163,165.75,3100000
19-04-2025,165.75,167.5,164,166.5,3400000
20-04-2025,166.5,168,165.25,167,3300000
21-04-2025,167,169.25,166.25,168.5,3200000
22-04-2025,168.5,170,167,169.75,3100000
23-04-2025,169.75,171.5,168,170.5,3400000
24-04-2025,170.5,172,169.25,171,3300000
25-04-2025,171,173.25,170.25,172.5,3200000
